mode,strategy,run_number,user,cpu_ms,elapsed_ms,logical_reads,rows_returned,errors,machine,policy_id,policy_name,predicate_function,predicate_columns,table_affected,query_name,tables_used
WITH_RLS,NO_CARTESIAN,2,user1,2747,261,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,673,68,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3054,294,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,663,67,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,2851,281,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,631,65,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,2871,279,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,626,66,104890,1,,Mr,P7,lineitem_rls_policy,dbo.p7_receipt_commit,"l_receiptdate,l_commitdate",lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,1,user1,2810,265,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,1,user1,650,65,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,2,user1,2840,267,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,2,user1,1153,115,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,3,user1,3072,304,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,3,user1,1104,103,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,4,user1,3124,312,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,4,user1,1020,91,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
WITH_RLS,NO_CARTESIAN,5,user1,3129,280,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
NO_RLS,NO_CARTESIAN,5,user1,1020,92,104890,1,,Mr,P1,lineitem_rls_policy,dbo.p1_last_5y,l_shipdate,lineitem,q1.sql,lineitem
