mode,strategy,run_number,user,policy_ids,predicate_functions,tables_affected,cpu_ms,elapsed_ms,logical_reads,physical_reads,read_ahead_reads,rows_returned,errors,machine,query_name,tables_used
WITH_RLS,MODE2_EXPLICIT,3,user1,P36,dbo.p36_part_size_above_type_avg,part,116896,11814,8942671,5,142957,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P37,dbo.p37_supplier_multi_part_types,supplier,4188,1786,2811600,23,146407,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P37,dbo.p37_supplier_multi_part_types,supplier,4312,1818,2810930,24,146400,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P37,dbo.p37_supplier_multi_part_types,supplier,4369,1822,2811219,36,146313,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P38,dbo.p38_order_quantity_above_customer_avg,orders,111797,20199,33246875,1196,133437,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P38,dbo.p38_order_quantity_above_customer_avg,orders,117096,20706,33246875,1199,133436,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P38,dbo.p38_order_quantity_above_customer_avg,orders,115932,20841,33246875,1198,133436,204,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P39,dbo.p39_customer_all_orders_truck_or_mail,customer,119873,12058,9350106,3302,120090,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,2,user1,P39,dbo.p39_customer_all_orders_truck_or_mail,customer,126595,12408,9350106,3303,120088,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,3,user1,P39,dbo.p39_customer_all_orders_truck_or_mail,customer,127119,12431,9350106,3303,120086,185,,Mr,21.sql,"lineitem,nation,orders,supplier"
WITH_RLS,MODE2_EXPLICIT,1,user1,P3,dbo.p3_return_discount,lineitem,4201,1742,2810408,57,146100,396,,Mr,21.sql,"lineitem,nation,orders,supplier"
